Market_ID,Market_name,population_2019,Population_growth,Income_per_capita
33001,Lebanon,10000,0,52743
35270,Lebanon,10000,0,52743
31693,Fond Du Lac,10000,0,52813
34203,Pocahontas,10000,0,53074
32185,Huron,10000,0,53638
34281,Pratt,10000,0,53750
35078,Sweetwater,10000,0,54000
30615,El Paso,10000,0,54151
31706,Fallon,10000,0,54203
36570,Sussex,10000,0,54352
33076,La Crosse,10000,0,54532
35245,Teller,10000,0,54587
32888,Laramie,10000,0,55094
33501,Marathon,10000,0,55136
35273,Pulaski,10000,0,55563
34695,Sheboygan,10000,0,55616
30017,Red Lake,10000,0,55620
36102,Yankton,10000,0,55638
36822,Atlantic,10000,0,55802
34589,Roseau,10000,0,55999
36718,Delaware,10000,0,56097
31173,Cottonwood,10000,0,56130
31153,Carson City,10000,0,56510
30812,St. James,10000,0,56880
35485,Queens,10000,0,57085
35725,Beaver,10000,0,57190
36429,Ada,10000,0,57215
34648,Rutland,10000,0,57283
31202,Charlevoix,10000,0,57289
31389,Colusa,10000,0,57382
30190,Nebraska,10000,0,57570
31898,Grand Forks,10000,0,57659
35975,Mariposa,10000,0,57828
36644,York,10000,0,58038
35203,York,10000,0,58038
36467,Jefferson,10000,0,58424
32479,Jefferson,10000,0,58424
33447,McPherson,10000,0,58438
32599,Bennington,10000,0,59131
32236,Hutchinson,10000,0,59341
31441,DuBois,10000,0,59524
33621,Shelby,10000,0,59588
36520,Medina,10000,0,60514
35650,Chelan,10000,0,60518
33200,McCook,10000,0,60576
32581,Stanley,10000,0,60870
32807,St. Mary's,10000,0,61144
31468,Kearney,10000,0,61585
34674,Santa Fe,10000,0,63004
31315,Dickinson,10000,0,63319
35015,Sterling,10000,0,63329
34605,Sterling,10000,0,63329
30464,Williams,10000,0,64850
34657,Rawlins,10000,0,65230
31597,Eastland,10000,0,65416
34539,Rockland,10000,0,66350
32190,Hot Springs,10000,0,67005
35538,Hot Springs,10000,0,67005
32215,Hot Springs,10000,0,67005
36820,Litchfield,10000,0,67118
31735,Ventura,10000,0,67422
35882,Cape May,10000,0,67836
34689,Santa Barbara,10000,0,67879
35533,Cimarron,10000,0,68446
30823,Bowman,10000,0,68963
33523,Moultrie,10000,0,69297
30010,Hudson,10000,0,71682
31531,El Dorado,10000,0,72662
34160,Pembina,10000,0,72827
33026,Lander,10000,0,72931
36706,New Jersey,10000,0,73460
34837,St. Johns,10000,0,73944
32883,Los Alamos,10000,0,76142
30033,Alpine,10000,0,76175
30259,Alpine,10000,0,76175
34670,Saratoga,10000,0,77398
35470,Summit,10000,0,77754
31440,Douglas,10000,0,78980
31303,Douglas,10000,0,78980
30888,Cumberland,10000,0,80116
36624,Rockingham,10000,0,80220
35094,Stanton,10000,0,85633
31463,Eagle,10000,0,87872
31503,Eagle,10000,0,87872
36841,Chester,10000,0,91927
30154,Nantucket,10000,0,114832
36733,Brawley,10000,0,10000
30003,Granite Mountain,10000,0,10000
30004,Lik,10000,0,10000
30005,Little Squaw,10000,0,10000
30006,Kizhuyak,10000,0,10000
30007,Klawock,10000,0,10000
30008,Elizabeth Island,10000,0,10000
30009,Homer,10000,0,10000
30015,Deadmans Bay,10000,0,10000
30016,Hallo Bay,10000,0,10000
30018,Shell Lake,10000,0,10000
30019,Kougarok,10000,0,10000
30020,Selawik,10000,0,10000
30021,Pillar Bay,10000,0,10000
30022,Johnstone Point,10000,0,10000
30023,Tikchik Lodge,10000,0,10000
30024,Bell Creek,10000,0,10000
30025,Cinnabar,10000,0,10000
30026,Mountaintop Mine,10000,0,10000
30027,Whitebear,10000,0,10000
30028,Puviaq,10000,0,10000
30029,Arley Lake,10000,0,10000
30030,Port Vita,10000,0,10000
30031,Kantishna,10000,0,10000
30032,Lonely,10000,0,10000
30034,Serpentine,10000,0,10000
30035,Driftwood Bay,10000,0,10000
30036,Bradley Lake,10000,0,10000
30037,Chilkat Lake,10000,0,10000
30038,Nugget Creek,10000,0,10000
30039,Ivotuk,10000,0,10000
30040,Pogo Mines,10000,0,10000
30041,Ayakulik River,10000,0,10000
30042,Kiluda Bay,10000,0,10000
30043,Terror Lake,10000,0,10000
30044,Selief Bay,10000,0,10000
30047,Laura Lake,10000,0,10000
30049,Deep Bay,10000,0,10000
30050,Kako,10000,0,10000
30051,Molly Creek,10000,0,10000
30052,Ptarmigan Lake,10000,0,10000
30053,Cape Simpson,10000,0,10000
30054,Kogru River,10000,0,10000
30055,Teshepkuk Lake,10000,0,10000
30056,Kodiak Island,10000,0,10000
30057,Bear Creek,10000,0,10000
30058,Lake Florence,10000,0,10000
30059,Lake Hasselborg,10000,0,10000
30060,Distin Lake,10000,0,10000
30061,Port Hobron,10000,0,10000
30062,Mooseville Airstrip,10000,0,10000
30063,Big Bay,10000,0,10000
30064,Wien Lake,10000,0,10000
30065,Silver Salmon Creek,10000,0,10000
30066,Blear Lake,10000,0,10000
30067,Cannery Bay,10000,0,10000
30070,Kodiak,10000,0,10000
30071,Cosna River,10000,0,10000
30072,Ivatuk,10000,0,10000
30073,Deadhorse,10000,0,10000
30074,Cape Sarichef,10000,0,10000
30075,Taylor Mountain Mine,10000,0,10000
30076,Yukon Charley Rivvers,10000,0,10000
30078,Karluk Portage,10000,0,10000
30079,Hope,10000,0,10000
30080,Viekoda Bay,10000,0,10000
30082,Cold Bay,10000,0,10000
30083,Village Islands,10000,0,10000
30084,Wide Bay,10000,0,10000
30085,Chinitna Bay,10000,0,10000
30086,McKinley Park,10000,0,10000
30088,Malina Bay,10000,0,10000
30089,Red Fox Bay,10000,0,10000
30090,Shearwater,10000,0,10000
30094,Aglaq,10000,0,10000
30095,Nikiski,10000,0,10000
30096,Petrof Point,10000,0,10000
30097,Denali,10000,0,10000
30098,Big River,10000,0,10000
30100,Carry Inlet,10000,0,10000
30102,Montague Island,10000,0,10000
30103,Shannon Pond,10000,0,10000
30104,Omalik Lagoon,10000,0,10000
30105,Omolik Lagoon,10000,0,10000
30106,Bradley Lake Project,10000,0,10000
30110,Akulik,10000,0,10000
30111,Deadfall,10000,0,10000
30112,Eagle Creek,10000,0,10000
30113,Bethel,10000,0,10000
30114,Trading Bay,10000,0,10000
30116,Kachemak Bay,10000,0,10000
30117,Selby Lake,10000,0,10000
30139,Ambler,10000,0,10000
30165,Adak Island,10000,0,10000
30176,Aleneva,10000,0,10000
30184,Allakaket,10000,0,10000
30204,Angoon,10000,0,10000
30219,Amchitka Island,10000,0,10000
30222,Anita Bay,10000,0,10000
30225,Wainwright,10000,0,10000
30237,Atka,10000,0,10000
30241,Akiak,10000,0,10000
30243,Akhiok,10000,0,10000
30245,King Salmon,10000,0,10000
30247,Anaktuvuk Pass,10000,0,10000
30278,Lazy Bay,10000,0,10000
30304,Aniak,10000,0,10000
30307,Annette,10000,0,10000
30313,Anvik,10000,0,10000
30324,Amook Bay,10000,0,10000
30344,Girdwood,10000,0,10000
30349,Arctic Village,10000,0,10000
30396,Atqasuk,10000,0,10000
30405,Atmautluak,10000,0,10000
30406,Attu,10000,0,10000
30416,Alakanuk,10000,0,10000
30487,Baker Island,10000,0,10000
30556,Blue Fox Bay,10000,0,10000
30580,Big Lake,10000,0,10000
30612,Big Creek,10000,0,10000
30616,Big Delta,10000,0,10000
30640,Buckland,10000,0,10000
30642,Brooks Lake,10000,0,10000
30692,Big Mountain,10000,0,10000
30697,Baranof,10000,0,10000
30735,Bartlett Cove,10000,0,10000
30769,Boswell Bay,10000,0,10000
30770,Bartletts,10000,0,10000
30775,Barter Island,10000,0,10000
30783,Bettles,10000,0,10000
