unique_carrier_code, passenger_carried ,fleet_size,number_of_destinations
RGQ,,,
RG,,,
RES,,,
REQ,,,
RED,,,
REA,,,
RDW,,,
RDR,,,
RD (1),,,
RD,,,
RCA,,,
RC (1),,,
RC,,,
RB,,,
RAY,,,
RAQ,,,
RAN,,,
RAL,,,
R3,,,
R2,,,
R0,,,
QY,,,
QX,,62,45
QWE,,,
QTQ,,,
QT,,,
QS (1),,,
QS,,,
QR,,,
QQ,,,
QOZ,,,
QO,,,
QN,,,
QK,,,
QH,,,
QG,,,
QF,,,
QD,,,
QB,,,
Q7 (1),,,
Q7,,,
Q6,,,
Q5,,,
Q4,,,
Q2,,,
PZ,,,
PY,,,
PW,,,
PVA,,,
PV,,,
PUQ,,,
PU,,,
PTQ,,,
PT (1),,,
PT,,57,55
PSA,,,
PS (1),,,
PS,,,
PRR,,,
PRQ,,,
PRP,,,
PRO,,,
PRN,,,
PRM,,,
PRD,,,
PRA,,,
PR,,,
PPQ,,,
PP,,,
POQ,,,
PON,,,
POM,,,
POL,,,
POC,,,
POA,,,
PO,,,
PNS,,,
PNR,,,
PNQ,,,
PNM,,,
PN,,,
PMT,,,
PMA,,,
PM,,,
PLZ,,,
PLQ,,,
PLA,,,
PL,,,
PKQ,,,
PK,,,
PIQ,,,
PIA,,,
PI,,,
PHX,,,
PHR,,,
PHL,,,
PH,,,
PFQ,,,
PFA,,,
PF,,,
PET,,,
PER,,,
PEQ,,,
PEA,,,
PE (1),,,
PE,,,
PDQ,,,
PDA,,,
PD (1),,,
PD,,,
PCR,,,
PCQ,,,
PCL,,,
PCA,,,
PBQ,,,
PBA,,,
PAT,,,
PAQ,,,
PAI,,,
PAF,,,
PA (2),,,
PA (1),,,
PA,,,
P9,,,
P3,,,
OZA,,,
OZ (1),,,
OZ,,,
OWS,,,
OWQ,,,
OW,,,
OV,,,
OTT,,,
OS,,,
ORI,,,
OR,,,
OPQ,,,
OP (1),,,
OP,,,
OOZ,,,
OO,,492,233
ONQ,,,
ON,,,
OMQ,,,
OMN,,,
OMK,,,
OMI,,,
OMH,,,
OK,,,
OJ,,,
OIZ,,,
OI,,,
OHZ,,,
OHA,,,
OH (1),,,
OH,,130,91
OFF,,,
OF,,,
OE,,,
OD (1),,,
OD,,,
OCR,,,
OC,,,
OB,,,
OAK,,,
OA,,,
O6,,,
NZ,,,
NYH,,,
NY,,,
NXQ,,,
NWS,,,
NWQ,,,
NW,,,
NVX,,,
NVQ,,,
NUQ,,,
NUM,,,
NTQ,,,
NTH,,,
NSQ,,,
NRN,,,
NQ,,,
NPT,,,
NPA,,,
NOS,,,
NOQ,,,
NN,,,
NLQ,,,
NKQ,,,
NK,"34,537,000",157,78
NJE,,,
NJA,,,
NJ,,,
NI (1),,,
NI,,,
NHA,,,
NH,,,
NGL,,,
NG,,,
NFQ,,,
NFA,,,
NEX,,,
NEW,,7,2
NEV,,,
NET,,,
NER,,,
NEQ,,,
NEC,,,
NEB,,,
ND,,,
NCE,,,
NCA,,,
NC,,,
NBQ,,,
NB,,,
NAT,,,
NAS,,,
NAQ,,,
NAP,,,
NAC,,,
NA,,,
N8,,,
N7,,,
N6,,,
N5 (1),,,
N5,,,
MZ,,,
MYQ,,,
MY,,,
MX (1),,,
MX,,,
MWA,,,
MW,,,
MVA,,,
MUQ,,,
MUA,,,
MU (1),,,
MU,,,
MTX,,,
MTV,,,
MTR,,,
MTA,,,
MT (1),,,
MT,,,
MST,,,
MS,,,
MRR,,,
MRC,,,
MQ,,159,170
MPC,,,
MPA,,,
MP,,,
MOQ,,,
MNZ,,,
MNA,,,
MMH,,,
MM (1),,,
MM,,,
MLX,,,
MLL,,,
ML (1),,,
ML,,,
MKQ,,,
MJ,,,
MIY,,,
MIS,,,
MIN,,,
MHO,,,
MHK,,,
MH,,,
MGQ,,,
MG,,,
MF,,,
MEX,,,
MET,,,
MEA,,,
ME,,,
MDU,,,
MDC,,,
MCO,,,
MC,,,
MB,,,
MAX,,,
MAV,,,
MAR,,,
MAQ,,,
MAI,,,
MAG,,,
MAE,,,
MAC,,,
MAA,,,
MA,,,
M7,,,
M6,,,
M3,,,
M2,,,
LZQ,,,
LZ,,,
LY,,,
LXQ (1),,,
LXQ,,,
LX,,,
LW,,,
LVA,,,
LV,,,
LUQ,,,
LU,,,
LT,,,
LSZ,,,
LSQ,,,
LS,,,
LRQ,,,
LR,,,
LP (1),,,
LP,,,
LOS,,,
LOQ,,,
LO,,,
LNQ,,,
LMQ,,,
LLA,,,
LKN,,,
LJ,,,
LIQ,,,
LHA,,,
LH,,,
LGQ,,,
LG,,,
LF (1),,,
LF,,,
LEX,,,
LEQ,,,
LDQ,,,
LDM,,,
LCT,,,
LCQ,,,
LC (2),,,
LC (1),,,
LC,,,
LBQ,,,
LB,,,
LAW,,,
LAS,,,
LAR,,,
LAP,,,
LAN,,,
LAH,,,
LAA,,,
LA,,,
L7,,,
L3,,,
L2,,,
KZ,,,
KXZ,,,
KX,,,
KWZ,,,
KWQ,,,
KW,,,
KV,,,
KU,,,
KTQ,,,
KS,,,
KR (1),,,
KR,,,
KQ,,,
KP,,,
KOD,,,
KO,,,
KN,,,
KM,,,
KLQ,,,
KL,,,
KKQ,,,
KIN,,,
KI,,,
KH,,,
KFS,,,
KFQ,,,
KET,,,
KEE,,,
KEA,,,
KE,,,
KD,,,
KB,,,
KAT,,,
KAQ,,,
KAI,,,
KAH,,27,30
KA1,,,
KA,,,
K8,,,
K7,,,
K5,,,
K3,,,
K2,,,
JZ,,,
JXQ,,,
JX (1),,,
JX,,,
JW,,,
JVQ,,,
JU (1),,,
JU,,,
JTA,,,
JR,,,
JQ,,,
JO,,,
JN,,,
JMA,,,
JM,,,
JL,,,
JKQ,,,
JK (1),,,
JK,,,
JJ,,,
JIQ,,,
JI (1),,,
JI,,,
JF,,,
JER,,,
JD (1),,,
JD,,,
JCZ,,,
JCQ,,,
JCO,,,
JCM,,,
JB,,,
JAQ,,,
JAM,,,
JAG,,,
J7,,,
J6,,,
J5,,,
J2,,,
IXQ,,,
IW (1),,,
IW,,,
ITQ,,,
ISL,,,
IRQ,,,
IR,,,
IPS,,,
IPQ,,,
IPI,,,
IOW,,,
INQ,,,
IND,,,
INA,,,
IN,,,
IMP,,,
IKQ,,,
IJ,,,
III,,,
IGA,,,
IG,,,
IFQ,,,
IEX,,,
IDQ,,,
ICQ,,,
ICH,,,
ICF,,,
IB,,,
IA,,,
I4,,,
HYP,,,
HYA,,,
HY,,,
HX (1),,,
HX,,,
HWK,,,
HVQ,,,
HUB,,,
HU,,,
HSZ,,,
HSV,,,
HRZ,,,
HRQ,,,
HRG,,,
HRA,,,
HQQ,,,
HQ (1),,,
HQ,,,
HPZ,,,
HP,,,
HOR,,,
HOQ,,,
HOL,,,
HNS,,,
HMZ,,,
HLQ,,,
HK,,,
HJ,,,
HIQ,,,
HFS,,,
HFQ,,,
HEU,,,
HET,,,
HER,,,
HEP,,,
HEL,,,
HCQ,,,
HC,,,
HBQ,,,
HB (1),,,
HB,,,
HAR,,,
HAQ (1),,,
HAQ,,,
HA,"11,751,003",61,32
H6,,,
H5,,,
H2,,,
GY,,,
GX,,,
GWE,,,
GWA,,,
GW (1),,,
GW,,,
GV,,32,100
GUN,,,
GUL,,,
GU (1),,,
GU,,,
GST,,,
GSQ,,,
GSL,,,
GSC,,,
GSA,,,
GS,,,
GRO,,,
GRD,,,
GRA,,,
GR,,,
GQ,,,
GPA,,,
GOF,,,
GMA,,,
GM,,,
GLW,,,
GL,,,
GKQ,,,
GJ (1),,,
GJ,,,
GIQ,,,
GHA,,,
GH,,,
GG (2),,,
GG (1),,,
GG,,,
GFQ,,,
GFC,,,
GF (1),,,
GF,,,
GEQ,,,
GE,,,
GDW,,,
GD,,,
GCS,,,
GCQ (1),,,
GCQ,,,
GCH,,,
GCA (1),,,
GCA,,,
GBQ,,,
GBA,,,
GAV,,,
GAT,,,
GAS,,,
GAQ,,,
GAL,,,
GA,,,
G7,,52,80
G4,"14,823,267",107,128
G3 (1),,,
G3,,,
FYQ,,,
FYB,,,
FX,,,
FWA,,,
FW,,,
FVA,,,
